tag name;description;category;rico-remark;rico-classes;rico-properties
archdesc;Archival Description;archdesc;;RecordSet;
archdescgrp;Archival Description Group;archdesc;;RecordSet;
c;Component (Unnumbered);archdesc;;RecordSet ;
c01;Component (First Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c02;Component (Second Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c03;Component (Third Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c04;Component (Fourth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c05;Component (Fifth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c06;Component (Sixth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c07;Component (Seventh Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c08;Component (Eighth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c09;Component (Ninth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c10;Component (Tenth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c11;Component (Eleventh Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
c12;Component (Twelfth Level);archdesc;;RecordSet ;isOrWasIncludedIn + followsOrFollowed
dsc;Description of Subordinate Components;archdesc;structural element, no mapping;;
dscgrp;Description of Subordinate Components Group;archdesc;structural element, no mapping;;
ead;Encoded Archival Description;basic;structural element, no mapping;;
eadgrp;EAD Group;basic;structural element, no mapping;;
bibseries;Bibliographic Series;bib;;;
imprint;Imprint;bib;;;
publisher;Publisher;eadheader;;Agent + Name;hasPublisher + hasOrHadName + textualValue
dao;Digital Archival Object;dao;;Instantiation;hasOrHadInstantiation + storedAt
daodesc;Digital Archival Object Description;dao;;;generalDescription
daogrp;Digital Archival Object Group;dao;structural element, no mapping;;
daoloc;Digital Archival Object Location;dao;;Instantiation;hasOrHadInstantiation + storedAt
abstract;Abstract;did;;;scopeAndContent
container;Container;did;;;
did;Descriptive Identification;did;structural element, no mapping;;
dimensions;Dimensions;did;;;
